Attribute,Class,Definition
"private codProd : int","Produto",""
"private enderecoEntrega : Endereco","Produto",""
"private produtoPadrao : boolean","Produto",""
"private idLog : int","Log",""
"private dataOperacao : String","Log",""
"private horaOperacao : Time","Log",""
"private usuarioOperacao : int","Log",""
"private dadosOperacao : String","Log",""
"private lblNome : JLabel","FormFornecedor",""
"private lblDataNasc : JLabel","FormFornecedor",""
"private lblCpf : JLabel","FormFornecedor",""
"private lblGenero : JLabel","FormFornecedor",""
"private lblTipoEndereco : JLabel","FormFornecedor",""
"private lblTipoResidencia : JLabel","FormFornecedor",""
"private lblNomeEndereco : JLabel","FormFornecedor",""
"private lblTipoLogradouro : JLabel","FormFornecedor",""
"private lblLogradouro : JLabel","FormFornecedor",""
"private lblNumero : JLabel","FormFornecedor",""
"private lblBairro : JLabel","FormFornecedor",""
"private lblCep : JLabel","FormFornecedor",""
"private lblCidade : JLabel","FormFornecedor",""
"private lblEstado : JLabel","FormFornecedor",""
"private lblPais : JLabel","FormFornecedor",""
"private lblTipoTelefone : JLabel","FormFornecedor",""
"private lblTelefone : JLabel","FormFornecedor",""
"private lblDddTelefone : JLabel","FormFornecedor",""
"private lblProdutos : JLabel","FormFornecedor",""
"private lblRanking : JLabel","FormFornecedor",""
"private lblSenha : JLabel","FormFornecedor",""
"private lblConfirmacaoSenha : JLabel","FormFornecedor",""
"private lblNumeroCartao : JLabel","FormFornecedor",""
"private lblNomeCartao : JLabel","FormFornecedor",""
"private lblBandeiraCartao : JLabel","FormFornecedor",""
"private lblCodSegCartao : JLabel","FormFornecedor",""
"private txtNome : JTextField","FormFornecedor",""
"private txtDataNasc : JTextField","FormFornecedor",""
"private txtCpf : JTextField","FormFornecedor",""
"private txtGenero : JTextField","FormFornecedor",""
"private txtNomeEndereco : JTextField","FormFornecedor",""
"private txtLogradouro : JTextField","FormFornecedor",""
"private txtNumero : JTextField","FormFornecedor",""
"private txtCep : JTextField","FormFornecedor",""
"private txtTelefone : JTextField","FormFornecedor",""
"private txtDddTelefone : JTextField","FormFornecedor",""
"private txtRanking : JTextField","FormFornecedor",""
"private txtSenha : JTextField","FormFornecedor",""
"private txtConfirmacaoSenha : JTextField","FormFornecedor",""
"private txtNumeroCartao : JTextField","FormFornecedor",""
"private txtNomeCartao : JTextField","FormFornecedor",""
"private txtCodSegCartao : JTextField","FormFornecedor",""
"private cbTipoEndereco : JList","FormFornecedor",""
"private cbTipoResidencia : JList","FormFornecedor",""
"private cbTipoLogradouro : JList","FormFornecedor",""
"private cbBairro : JList","FormFornecedor",""
"private cbCidade : JList","FormFornecedor",""
"private cbEstado : JList","FormFornecedor",""
"private cbPais : JList","FormFornecedor",""
"private cbTipoTelefone : JList","FormFornecedor",""
"private cbProduto : JList","FormFornecedor",""
"private cbBandeiraCartao : JList","FormFornecedor",""
"private btAdicionarEndereco : JButton","FormFornecedor",""
"private btAdicionarCartao : JButton","FormFornecedor",""
"private btAdicionarTelefone : JButton","FormFornecedor",""
"private btSalvar : JButton","FormFornecedor",""
"private idUsuario : int","Usuario",""
"private senhaUsuario : String","Usuario",""
"private codForn : int","Fornecedor",""
"private enderecoForn : Endereco[]","Fornecedor",""
"private produtosForn : Produto[]","Fornecedor",""
"private produtoPadraoForn : Produto","Fornecedor",""
"private generoForn : String","Fornecedor",""
"private nomeForn : String","Fornecedor",""
"private dataNascForn : Date","Fornecedor",""
"private cpfForn : String","Fornecedor",""
"private telefoneForn : Telefone","Fornecedor",""
"private emailForn : String","Fornecedor",""
"private rankingForn : String","Fornecedor",""
"private codEnd : int","Endereco",""
"private nomeEnd : String","Endereco",""
"private tipoEnd : TipoEndereco","Endereco",""
"private tipoLogradouro : TipoLogradouro","Endereco",""
"private tipoResidencia : TipoResidencia","Endereco",""
"private logradouroEnd : String","Endereco",""
"private numeroEnd : int","Endereco",""
"private bairroEnd : String","Endereco",""
"private cepEnd : String","Endereco",""
"private observacoesEnd : String","Endereco",""
"private tipoTelefone : TipoTelefone","Telefone",""
"private dddTelefone : int","Telefone",""
"private numeroTelefone : String","Telefone",""
"private descricaoEndereco : String","TipoEndereco",""
"private tipoLogradouro : String","TipoLogradouro",""
"private tipoTelefone : String","TipoTelefone",""
"private numeroCartao : String","Cartao",""
"private nomeCartao : String","Cartao",""
"private bandeiraCartao : BandeiraCartao","Cartao",""
"private codigoSegCartao : int","Cartao",""
"private codBandeira : int","BandeiraCartao",""
"private nomeBandeiraCartao : String","BandeiraCartao",""
"private descricaoCidade : String","Cidade",""
"private siglaEstado : String","Estado",""
"private descricaoEstado : String","Estado",""
"private descricaoPais : String","Pais",""
"private tipoResidencia : String","TipoResidencia",""
